id_venta,fecha,cliente,producto,cantidad,importe,medio_pago
V-20001,2026-05-01,Garcia SA,Toner HP,2,237.01,tarjeta
V-20002,2026-05-02,Juan Perez,Servicio mensual,3,374.02,efectivo
V-20003,2026-05-03,Marta Gomez,Cuaderno,4,511.03,transferencia
V-20004,2026-05-04,Kiosco El Sol,Mouse inalambrico,5,648.04,tarjeta
V-20005,2026-05-05,Ferreteria Nuñez,Servicio de consultoria,6,785.05,efectivo
V-20006,2026-05-06,Estudio Contable RyR,Toner HP,7,922.06,transferencia
V-20007,2026-05-07,Bar La Esquina,Servicio mensual,8,1059.07,tarjeta
V-20008,2026-05-08,Distribuidora Sur,Cuaderno,9,1196.08,efectivo
V-20009,2026-05-09,Panaderia Ortiz,Mouse inalambrico,10,1333.09,transferencia
V-20010,2026-05-10,Optica Vision,Servicio de consultoria,11,1470.10,tarjeta
V-20011,2026-05-11,Tech Solutions,Toner HP,12,1607.11,efectivo
V-20012,2026-05-12,Farmacia Central,Servicio mensual,13,1744.12,transferencia
V-20013,2026-05-13,Hotel Plaza,Cuaderno,14,1881.13,tarjeta
V-20014,2026-05-14,Comercial Andrade,Mouse inalambrico,15,2018.14,efectivo
V-20015,2026-05-15,Garcia SA,Servicio de consultoria,16,2155.15,transferencia
V-20016,2026-05-16,Juan Perez,Toner HP,17,2292.16,tarjeta
V-20017,2026-05-17,Marta Gomez,Servicio mensual,18,2429.17,efectivo
V-20018,2026-05-18,Kiosco El Sol,Cuaderno,19,2566.18,transferencia
V-20019,2026-05-19,Ferreteria Nuñez,Mouse inalambrico,20,2703.19,tarjeta
V-20020,2026-05-20,Estudio Contable RyR,Servicio de consultoria,1,2840.20,efectivo
V-20021,2026-05-21,Bar La Esquina,Toner HP,2,2977.21,transferencia
V-20022,2026-05-22,Distribuidora Sur,Servicio mensual,3,3114.22,tarjeta
V-20023,2026-05-23,Panaderia Ortiz,Cuaderno,4,3251.23,efectivo
V-20024,2026-05-24,Optica Vision,Mouse inalambrico,5,3388.24,transferencia
V-20025,2026-05-25,Tech Solutions,Servicio de consultoria,6,3525.25,tarjeta
V-20026,2026-05-26,Farmacia Central,Toner HP,7,3662.26,efectivo
V-20027,2026-05-27,Hotel Plaza,Servicio mensual,8,3799.27,transferencia
V-20028,2026-05-28,Comercial Andrade,Cuaderno,9,3936.28,tarjeta
V-20029,2026-05-01,Garcia SA,Mouse inalambrico,10,4073.29,efectivo
V-20030,2026-05-02,Juan Perez,Servicio de consultoria,11,4210.30,transferencia
V-20031,2026-05-03,Marta Gomez,Toner HP,12,4347.31,tarjeta
V-20032,2026-05-04,Kiosco El Sol,Servicio mensual,13,4484.32,efectivo
V-20033,2026-05-05,Ferreteria Nuñez,Cuaderno,14,4621.33,transferencia
V-20034,2026-05-06,Estudio Contable RyR,Mouse inalambrico,15,4758.34,tarjeta
V-20035,2026-05-07,Bar La Esquina,Servicio de consultoria,16,4895.35,efectivo
V-20036,2026-05-08,Distribuidora Sur,Toner HP,17,5032.36,transferencia
V-20037,2026-05-09,Panaderia Ortiz,Servicio mensual,18,5169.37,tarjeta
V-20038,2026-05-10,Optica Vision,Cuaderno,19,5306.38,efectivo
V-20039,2026-05-11,Tech Solutions,Mouse inalambrico,20,5443.39,transferencia
V-20040,2026-05-12,Farmacia Central,Servicio de consultoria,1,5580.40,tarjeta
V-20041,2026-05-13,Hotel Plaza,Toner HP,2,5717.41,efectivo
V-20042,2026-05-14,Comercial Andrade,Servicio mensual,3,5854.42,transferencia
V-20043,2026-05-15,Garcia SA,Cuaderno,4,5991.43,tarjeta
V-20044,2026-05-16,Juan Perez,Mouse inalambrico,5,6128.44,efectivo
V-20045,2026-05-17,Marta Gomez,Servicio de consultoria,6,6265.45,transferencia
V-20046,2026-05-18,Kiosco El Sol,Toner HP,7,6402.46,tarjeta
V-20047,2026-05-19,Ferreteria Nuñez,Servicio mensual,8,6539.47,efectivo
V-20048,2026-05-20,Estudio Contable RyR,Cuaderno,9,6676.48,transferencia
V-20049,2026-05-21,Bar La Esquina,Mouse inalambrico,10,6813.49,tarjeta
V-20050,2026-05-22,Distribuidora Sur,Servicio de consultoria,11,6950.50,efectivo
V-20051,2026-05-23,Panaderia Ortiz,Toner HP,12,7087.51,transferencia
V-20052,2026-05-24,Optica Vision,Servicio mensual,13,7224.52,tarjeta
V-20053,2026-05-25,Tech Solutions,Cuaderno,14,7361.53,efectivo
V-20054,2026-05-26,Farmacia Central,Mouse inalambrico,15,7498.54,transferencia
V-20055,2026-05-27,Hotel Plaza,Servicio de consultoria,16,7635.55,tarjeta
V-20056,2026-05-28,Comercial Andrade,Toner HP,17,7772.56,efectivo
V-20057,2026-05-01,Garcia SA,Servicio mensual,18,7909.57,transferencia
V-20058,2026-05-02,Juan Perez,Cuaderno,19,8046.58,tarjeta
V-20059,2026-05-03,Marta Gomez,Mouse inalambrico,20,8183.59,efectivo
V-20060,2026-05-04,Kiosco El Sol,Servicio de consultoria,1,8320.60,transferencia
V-20061,2026-05-05,Ferreteria Nuñez,Toner HP,2,8457.61,tarjeta
V-20062,2026-05-06,Estudio Contable RyR,Servicio mensual,3,8594.62,efectivo
V-20063,2026-05-07,Bar La Esquina,Cuaderno,4,8731.63,transferencia
V-20064,2026-05-08,Distribuidora Sur,Mouse inalambrico,5,8868.64,tarjeta
V-20065,2026-05-09,Panaderia Ortiz,Servicio de consultoria,6,9005.65,efectivo
V-20066,2026-05-10,Optica Vision,Toner HP,7,9142.66,transferencia
V-20067,2026-05-11,Tech Solutions,Servicio mensual,8,9279.67,tarjeta
V-20068,2026-05-12,Farmacia Central,Cuaderno,9,9416.68,efectivo
V-20069,2026-05-13,Hotel Plaza,Mouse inalambrico,10,9553.69,transferencia
V-20070,2026-05-14,Comercial Andrade,Servicio de consultoria,11,9690.70,tarjeta
V-20071,2026-05-15,Garcia SA,Toner HP,12,9827.71,efectivo
V-20072,2026-05-16,Juan Perez,Servicio mensual,13,9964.72,transferencia
V-20073,2026-05-17,Marta Gomez,Cuaderno,14,10101.73,tarjeta
V-20074,2026-05-18,Kiosco El Sol,Mouse inalambrico,15,10238.74,efectivo
V-20075,2026-05-19,Ferreteria Nuñez,Servicio de consultoria,16,10375.75,transferencia
V-20076,2026-05-20,Estudio Contable RyR,Toner HP,17,10512.76,tarjeta
V-20077,2026-05-21,Bar La Esquina,Servicio mensual,18,10649.77,efectivo
V-20078,2026-05-22,Distribuidora Sur,Cuaderno,19,10786.78,transferencia
V-20079,2026-05-23,Panaderia Ortiz,Mouse inalambrico,20,10923.79,tarjeta
V-20080,2026-05-24,Optica Vision,Servicio de consultoria,1,11060.80,efectivo
V-20081,2026-05-25,Tech Solutions,Toner HP,2,11197.81,transferencia
V-20082,2026-05-26,Farmacia Central,Servicio mensual,3,11334.82,tarjeta
V-20083,2026-05-27,Hotel Plaza,Cuaderno,4,11471.83,efectivo
V-20084,2026-05-28,Comercial Andrade,Mouse inalambrico,5,11608.84,transferencia
V-20085,2026-05-01,Garcia SA,Servicio de consultoria,6,11745.85,tarjeta
V-20086,2026-05-02,Juan Perez,Toner HP,7,11882.86,efectivo
V-20087,2026-05-03,Marta Gomez,Servicio mensual,8,12019.87,transferencia
V-20088,2026-05-04,Kiosco El Sol,Cuaderno,9,12156.88,tarjeta
V-20089,2026-05-05,Ferreteria Nuñez,Mouse inalambrico,10,12293.89,efectivo
V-20090,2026-05-06,Estudio Contable RyR,Servicio de consultoria,11,12430.90,transferencia
V-20091,2026-05-07,Bar La Esquina,Toner HP,12,12567.91,tarjeta
V-20092,2026-05-08,Distribuidora Sur,Servicio mensual,13,12704.92,efectivo
